Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
120,8,-4,-8254.53391205721,-8052.6866831873995,-0.2879793265790644,-0.08158013384811538,35.197065271070656,93.60110360622888
129,7,-5,687.3218392477444,-3234.214401743746,-0.04577912958818593,-0.13406825257579774,37.641940740511046,92.6449367061571
164,8,-4,-139.18934891616684,-168.4977853413501,0.005334439774482718,-0.09184535673204293,47.08129000938497,88.2233083207164
196,8,-4,29.53377993191486,-4.01190141846881,0.006461070013075172,-0.10013909231040356,55.365874884400554,83.2743651929266
228,8,-4,-4.463049673155636,-33.769463743208604,0.01602718631788412,-0.09887481246953304,63.20028715699576,77.49660446286197
262,7,-5,24.793912218064285,-0.5636799714842482,0.01619305980162477,-0.10617088968217726,70.70353541255824,70.71782010331712
299,8,-5,-65.22316142447617,-59.398131284405196,0.03537864600988244,-0.08510381973863292,78.10442757622884,62.447565148607865
328,8,-3,14.489020130652916,-117.56328804062807,0.06562118071797335,-0.08883104361515523,83.31452065414473,55.30543054863683
364,7,-5,13.89806204979638,97.2116112096815,0.03548676822629534,-0.09313927315102974,88.72442288958929,46.12999873086193
395,7,-5,-54.10539893726224,-92.26100736352834,0.060442619932500614,-0.07850420302803476,92.62447619980695,37.69225926780454
425,8,-4,-62.70827241368664,-65.22879884594998,0.07773117816281074,-0.06188369738747315,95.66986154734313,29.108033109645138
458,10,-6,-56.199985159990966,79.11882477099317,0.05491416855584554,-0.045676232160096045,98.0811521128778,19.495835458131225
492,15,-5,-123.58757225375336,-114.75923047353587,0.08894497482249948,-0.009027461416522145,99.55597098830088,9.413216271636092
526,18,-5,25.632073237143103,13.039546540505672,0.08516050118805735,-0.016466669908989876,99.9984863219291,-0.5502120708973353
601,24,-6,-22.50740295604712,-7.171160840029521,0.08985952354921345,-0.0017183199359078255,97.34914280646987,-22.872350007061694
660,37,-12,-130.50265734972479,49.216341287487445,0.06424926532669334,0.0661901565176481,91.72590407059607,-39.829116515833064
687,46,-18,-217.7295165651059,172.4650909307175,0.023533550017123112,0.11759193854272151,88.1950537715635,-47.13419661170672
724,54,-22,67.43466547098778,-102.35003754757366,0.056393487320243435,0.0959417375996728,82.46675480421197,-56.561774654460606
756,62,-28,-90.5796493478796,107.22887619322722,0.026937171761116978,0.12082442619204554,76.76572891441018,-64.08605826729624
790,70,-35,-22.46016237014451,30.63122784727387,0.0177229833240264,0.1275806740786147,69.74023948895031,-71.66797747965165
822,78,-44,-68.89705945879169,115.76040597071123,-0.01435468728800634,0.14667232429290236,62.60717595310054,-77.97654467323818
855,86,-53,-31.317778231373023,14.173986460849726,-0.018477198061457627,0.15578111514126425,54.51082333900196,-83.83656802913701
888,93,-62,-10.551405647286865,33.03473518723822,-0.028051894234260796,0.1588393053370131,45.90090723380056,-88.84315795329451
921,100,-74,-44.36878846168842,144.78591808475315,-0.06921072591872054,0.17145218592992442,37.01341315572097,-92.89783230282556
957,107,-85,-16.98798918109251,-21.832263580103348,-0.062378806548652285,0.17676819780010847,26.825077262794476,-96.33491179133921
988,111,-96,42.334821919226364,105.10526140749059,-0.09059417927842979,0.16540346910904222,17.833190703148436,-98.3970391289552
