Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
153,0,-12,-6473.997849503693,-6367.437141193002,-0.2503190573344732,-0.10861157079452805,44.14028109921808,89.73090651766542
157,-1,-13,1304.818549924263,-4241.353850307783,-0.06736873708313257,-0.16489477186750873,45.46597049926333,89.06652304070322
191,0,-13,-237.6115532685118,-232.2381309476208,0.0008465745728141985,-0.09510112474708443,54.212763413134034,84.02961551210119
223,-1,-12,64.37891503508743,-70.68086180178632,0.020488699777165685,-0.11299194663866945,61.98108241550684,78.4751261394472
256,1,-13,-108.44173954316456,34.60327821435778,0.010577957850383407,-0.0819330946985169,69.39512255696079,72.002201114302
294,-1,-12,98.76922257308436,-84.87268686223399,0.03860192457213271,-0.11454553468187752,77.10399486943591,63.6786775551597
322,2,-13,-217.6669379557696,42.940385282081905,0.027936064241344614,-0.0604797608511217,82.25394686192051,56.87080292765662
358,1,-12,115.20833405176121,-89.30027366502499,0.05627894099664076,-0.09704555711576345,87.95769022389837,47.57567372593618
388,1,-13,-55.51422862295807,44.916604515613486,0.044717372806499144,-0.0827561524141161,91.81793394299743,39.616499169403674
423,2,-13,-50.49725675989939,-58.899626779466765,0.06260030132201948,-0.06742432635266526,95.44574248420496,29.83471537720503
456,6,-14,-127.88314926157999,9.480063516963998,0.05984846416310083,-0.030302887080889587,97.94317009404452,20.177597278394284
489,12,-13,-98.50536538587188,-85.2228457870172,0.0846770613352509,-0.0016045959844679734,99.46984962666944,10.283434020198095
521,19,-14,-86.28558882615647,51.28190971061382,0.07048083011914584,0.022281608263896132,99.99691869799894,0.7850165003306702
556,31,-9,-174.51522899730958,-200.27680372449797,0.13098075345377944,0.07499943568432534,99.53957549734844,-9.585035722816547
587,41,-5,-26.440041161853966,-2.1395359451200706,0.13155484649746793,0.08209398520123283,98.23348425139424,-18.713165735146966
619,54,-5,-126.50891899876224,129.12246879840433,0.0944535354521,0.1184443338079839,95.90918550089903,-28.309506116393806
651,67,-4,-79.85231131021165,-42.97915417932047,0.10617884208022055,0.1402291467703309,92.8365322944182,-37.16689752383759
688,81,-4,-15.672230194409433,26.877211742741714,0.09747759957413236,0.14530288272322864,88.13426349189739,-47.24776818793459
718,94,-4,-128.43195516706888,2.793362796345613,0.09674929851903692,0.17878837504041528,83.55128957585602,-54.94708372799647
751,105,-5,60.89776632664265,36.19908245264055,0.08617242536703397,0.16099488675186802,77.62020003151746,-63.04843017131526
818,118,-7,31.49835061584691,5.234959403567097,0.0831046874742995,0.1425365423228689,63.43473568128562,-77.30481426822931
851,128,-11,-181.35437129930128,131.7824954610609,0.04558508226173468,0.1941696851838889,55.576957282919814,-83.13363831309506
884,138,-16,-41.6402990855874,54.59178797591103,0.02979756044818852,0.2062117368277438,47.05124290688091,-88.23933669808318
917,144,-22,89.03719828450411,59.49818313429388,0.01246648905599716,0.18027632235388547,37.99425430759342,-92.50100885725473
