Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
105,-1,-11,-9518.246899264383,-9172.19854881278,-0.2879793265790644,-0.05601727310664051,15.578573817945921,98.77908704679757
130,-3,-10,106.84060698322607,-1559.8212638838659,-0.02888782979880909,-0.07944573740571467,19.289827389157242,98.12187604859845
161,-3,-10,-82.56607092825259,37.48183512086544,-0.03913717716574017,-0.05686817846449733,23.878781027536604,97.10717695741627
194,-1,-11,-61.5558642165661,25.876638638504584,-0.04658415924303641,-0.03915314893623629,28.651221707728318,95.80765885175671
229,-3,-10,127.62042011500478,-69.20101041445503,-0.025624812051968666,-0.07780635179903117,33.59795550234869,94.18692789374859
261,-2,-10,-91.33610355325601,22.095808586704692,-0.03191655148951092,-0.05179857016286849,38.16582080345069,92.43035281983344
293,-2,-11,37.76798290596959,26.37419123002628,-0.03933919283336232,-0.062427832267882934,42.59076994069056,90.47666171924763
361,0,-12,-12.09476754038752,-14.942225487444137,-0.030555076781543827,-0.05531765702766817,51.50042821029104,85.71876045625403
394,1,-13,-0.8028659158571122,4.7404150593680345,-0.03192744749492646,-0.05508522386392695,55.70046475552913,83.05093753846525
425,3,-16,-38.011116207215665,67.91143582068598,-0.05055240171601115,-0.0446605392626322,59.55221701371224,80.33388730014079
460,7,-16,-57.23166381871674,-106.45864013681026,-0.018615374563204858,-0.027491343798274247,63.61366512821516,77.15764128688295
493,11,-12,-9.617081421152186,-144.0924880054,0.02293573614390001,-0.024718122096428412,67.35837941995862,73.91108659678125
525,16,-10,-41.55279000106778,51.18768555643454,0.008379203760360252,-0.01290151959327156,70.8893034363402,70.53160042357246
557,22,-8,-46.53712924488266,-14.342251188685458,0.01238092215641658,8.308678050417756e-05,74.18914447089745,67.05200103409523
595,33,-3,-114.65871596613337,-83.07735872045774,0.03946518200190948,0.03746326478094665,77.828146178979,62.79155725369038
625,44,1,-94.91684917343616,-13.826138402975173,0.043150728608076644,0.06276465126670336,80.622500369511,59.16090291880438
658,56,8,-30.006893294544522,-111.86237097085898,0.0748571649474053,0.07126984960754984,83.40801414484477,55.16432884041439
720,69,15,78.70944850248195,43.06575919729,0.05160418092324444,0.028771363973192434,88.16145736819733,47.19700662876327
755,83,21,-212.16376633678738,-77.02922688251303,0.07527747999990275,0.09397539751985703,90.53054146437559,42.47612343619615
789,99,26,-98.31610918319194,7.649014467225598,0.07298929344751962,0.12338645431410691,92.59403562252969,37.76697720408269
822,113,31,19.905398416212442,-23.146105275031797,0.07967184321341896,0.11763953430550038,94.35349213765059,33.12730779025526
857,127,36,-4.706248032152865,-9.540433817567097,0.08256798494954026,0.11906818646190016,95.95284053664099,28.161185929394815
889,141,39,-74.68288087447407,39.39070143231167,0.07172363830021648,0.13962854765182836,97.17754537458434,23.590775209191445
921,152,44,92.24668566506097,-78.28763650224184,0.09413691721184078,0.11321887702108016,98.22034475665701,18.78200936756869
954,162,47,12.045256407051651,51.35937049938781,0.07932682182402263,0.10974548171610288,99.03028120044777,13.892566550506091
988,171,49,14.123339327608926,20.36045050989108,0.07337405086330585,0.10561625067689295,99.60312719168942,8.900396262871588
1020,178,50,37.83258214614501,20.722984097513468,0.06749956454072728,0.09489158933856638,99.91842001243747,4.03848266284964
1053,186,50,-49.11230743590924,24.014961619815544,0.060571012487649886,0.10906097190529358,99.99577228696587,-0.9195241885174436
1087,192,50,48.38351230071094,-8.260041615935963,0.06300618850619123,0.09479683446799805,99.82083167945164,-5.983440717729311
1119,196,48,41.01688965859408,63.782285711332236,0.04521707262196944,0.0833570719193594,99.4194108957298,-10.760145777174355
1152,198,47,55.24473232454398,-40.251967223874146,0.056791636011375754,0.06747129787346484,98.7663732895675,-15.658975292968819
1186,198,48,52.66170206631256,-71.28346977345552,0.0776929498849981,0.05203014766703841,97.85208489868616,-20.614787919848098
1218,200,47,-80.54391216149357,60.050467450131755,0.060672156325647084,0.07485963359072001,96.73201989370006,-25.35579474764727
1251,198,45,119.96428706201291,27.545221210751915,0.05267843904602572,0.04004558773180518,95.34741773602138,-30.14746972919345
1286,195,44,20.316396507065733,-36.09768025574476,0.06353699260047875,0.03393420666957287,93.66189762064322,-35.034967305538444
1317,191,43,42.977848493957936,0.24148787170789918,0.06347205193972175,0.02237664951619292,91.94298347176499,-39.325408965588
1350,188,40,-48.355962201857935,61.287149708716015,0.045802859293605114,0.036317758146530335,89.8821228826906,-43.83154099619254
1383,184,38,27.304816995981312,-33.27759313133414,0.05532947992439852,0.028501007942050467,87.61735776089891,-48.199570734589
1416,179,37,25.856430258573525,-35.05777188758535,0.06547900277287215,0.021015351679272144,85.11133697462546,-52.498193477411704
1448,174,33,0.8257370161453408,105.54257700265707,0.035882704800008214,0.020783798125520603,82.48301476081484,-56.53806041921848
1481,168,30,23.181557250000267,-34.57188395886253,0.0459095414832944,0.014060482471488505,79.56315833681607,-60.57808048684553
1516,163,26,-41.927082194651256,28.12349542763157,0.03737439776095631,0.026784849302435014,76.29625890874726,-64.64426406518528
1548,157,21,43.98293846211776,50.65645392893452,0.023189949184480158,0.01446906956519855,73.09773551471739,-68.24017191230122
1582,151,16,-14.088208179604775,-3.12613769849165,0.024117575281048086,0.018649496283953994,69.52362670176933,-71.87812831615072
1614,147,10,-62.3977500527918,53.12719751829493,0.009283622561273169,0.03607193370472524,65.99520173846979,-75.13077496937373
1648,142,3,20.322540111645434,32.008332024148395,-9.560938870645321e-05,0.030116927446477117,62.128979470096326,-78.35808771278398
1680,137,-5,-0.3857262560959593,51.219126817727265,-0.014726834271309686,0.030227113776207973,58.20816722533655,-81.31303258560251
1714,132,-12,-9.058670724454052,-26.736310629224583,-0.006861950990923098,0.03289185645186383,54.024077690197146,-84.1510488925928
1746,126,-21,39.86159939836813,95.7723128870619,-0.03365251083677799,0.021741300178958558,49.917018810798986,-86.65039661214679
1779,122,-31,-76.04026824406293,37.9389388169944,-0.04467286102403552,0.04382917112402573,45.53022955952529,-89.03369135477271
1811,118,-40,-0.23389501649459007,-4.189849417285567,-0.04350126284494404,0.043894574661988955,41.19993815483126,-91.11841249735467
1845,113,-48,21.313719245081806,-29.10139317129979,-0.03497359359298187,0.03764895105279044,36.56011443853252,-93.07716171135326
1879,108,-56,-3.579337705912402,16.164552864508305,-0.039709063393627765,0.038697532213972895,31.828845538793665,-94.79939130430962
1913,104,-62,-39.234119026273504,-53.03739828954101,-0.02360181388411131,0.05061278003575143,26.839064511947647,-96.33101585742524
1944,101,-67,-25.279334436160127,3.4098794760780975,-0.024513587614587582,0.05737226617727481,22.384785272666537,-97.46241012973469
1978,99,-71,-47.33234956407595,-34.87103625578483,-0.014255391083627006,0.07129627292427446,17.43008706039613,-98.46924425965202
2011,95,-74,60.77080140971652,-18.88452073207571,-0.0087928375021046,0.05371765583346382,12.51464481809816,-99.21382799326337
2044,91,-75,-2.5902288732504486,-55.72641360936372,0.00719840125466743,0.05446094731166999,7.607711015401515,-99.71019372715179
2077,89,-76,-71.0682611688729,8.760539572742244,0.004693428367154937,0.07478207775260676,2.6998250977400184,-99.96354807849515
2110,87,-75,-7.720939496696733,-56.7901616148471,0.02136447865814681,0.0770486001040678,-2.3454748287058242,-99.9724899551267
2144,85,-73,-6.234991108963049,-25.333545923217606,0.02886141493968245,0.07889371610960093,-7.425497623291344,-99.72392884882993
2176,82,-70,35.53753551565776,-35.403512788588955,0.038674153135922804,0.06904383103641293,-12.166298097918387,-99.25714679856856
2209,79,-66,-7.647135505901478,-25.318190487018885,0.046004300472738076,0.07125783720686138,-17.08872837206249,-98.52905846817916
2242,76,-61,-2.454402865091306,-31.63325699935502,0.0551173790299743,0.07196491476517726,-21.944772064861162,-97.56242606158013
2275,73,-58,-1.7632907960307986,68.37870250523649,0.035558894067056986,0.0724692720468437,-26.7130034685432,-96.36604923773517
2306,69,-53,40.31733821993033,-74.83049030943842,0.056008404226250405,0.06145143942125537,-31.20847530162068,-95.00542652579446
2342,64,-49,13.861353357967502,49.54118868826284,0.040672989498238075,0.057160674341443715,-36.21692750522855,-93.21123409804754
2373,61,-45,-52.24625292359948,-10.113071187043662,0.04348950158300891,0.07171136819316258,-40.635847827414885,-91.37137336905461
2407,57,-41,28.060975848950125,9.187595956945886,0.040815832093475606,0.06354538273565573,-45.153575438560516,-89.22530260589888
2440,52,-38,37.90252766631603,35.673048820776025,0.030612798660366522,0.05270468451214034,-49.48378182779018,-86.89853471733376
2473,47,-36,0.6654012516675866,40.05642717348402,0.01895495020226521,0.052511029024041624,-53.767193460088315,-84.315413225729
2506,42,-32,7.9225006990799836,-63.31334562114407,0.036967892515834946,0.0502570406007212,-57.82452704122334,-81.58629831325129
2539,37,-29,0.19995368341433353,40.21620946121871,0.025213086517343275,0.050198596088204775,-61.84881577654564,-78.57941197946774
2573,33,-27,-29.579147336569996,39.05189761661395,0.013568169210689514,0.059018826237255115,-65.7934343806051,-75.30752945360119
2605,27,-23,85.17121052366832,-68.7551787892488,0.03274367119899802,0.035264968775122724,-69.32660248473287,-72.06817735952416
2638,23,-20,-65.46040385548085,41.61738462831378,0.020825227850247093,0.0540116084764344,-72.78877295207134,-68.56963272565932
2671,19,-19,4.984939225819152,73.66926731043559,-0.000334660641923384,0.052579793528226844,-76.08404855042822,-64.89389459861445
2704,14,-17,40.60935006095226,-25.47310996331961,0.006952148439697575,0.0409631286903262,-79.18163428438176,-61.07592645269017
2737,9,-14,5.516989282916341,-24.986974757850852,0.014207872820673165,0.039361103873894195,-82.1302213257615,-57.049336060829226
2771,5,-12,-28.217656515928642,39.84400838675655,0.002200997225258823,0.0478644122783142,-84.97377388733265,-52.72056288910868
2803,2,-10,-15.877922024906665,0.5514616309214492,0.0020500368579870623,0.05221092852893203,-87.35949351449224,-48.665376736355284
2836,-2,-6,36.73788934221738,-59.12763710754288,0.018911000087724478,0.041734673572038646,-89.63898737825504,-44.326650469001535
2869,-7,-3,38.18908121435212,39.50480105889974,0.0073699675672152425,0.03057801877542083,-91.75094807324808,-39.77139081877995
2902,-10,-1,-54.27745233460545,37.36656502535884,-0.0034019456658375058,0.04622494823395517,-93.60824337986104,-35.17807230842394
2935,-13,3,8.656983171318217,-61.687243878586514,0.01430610052710779,0.04373985977399777,-95.22937622977784,-30.518288007151096
2968,-17,7,40.41280587617759,4.749199427820767,0.01292484299709047,0.0319861961778551,-96.63543019534238,-25.721462457665734
3003,-19,11,-55.495249122322655,7.2931878275447435,0.01072633377904082,0.0487150697018024,-97.8378956037659,-20.682025621940532
3034,-23,16,90.27760581760306,-48.658051525973434,0.024008818544882075,0.024071441641010556,-98.70028381242734,-16.070282366725618
3067,-26,22,-29.959596041020436,-21.649339768647724,0.030316890382051275,0.03280091265762861,-99.38104298904585,-11.10892858962643
3100,-28,28,-21.39490371440522,-5.748488940793118,0.03195443144157788,0.03889556355768289,-99.80565921082109,-6.2314034930697515
3133,-30,35,9.327972254638059,-35.14966146054695,0.04200345334576662,0.03622876696239459,-99.99127076599947,-1.321276125788751
3166,-33,43,42.09743995995219,-33.31386219714604,0.051671665819029086,0.02401142057053447,-99.93276834911337,3.666307417885808
3199,-35,50,-20.993255338222088,26.213435461587093,0.04411957677986844,0.030059576058143675,-99.6287766576108,8.608534236901603
3234,-37,59,7.9811923818704615,-57.2555056254376,0.06131700987251125,0.027662321497426857,-99.0517762741313,13.73847214720178
3265,-38,67,-19.17657546615038,-0.34497896585596055,0.061411334483479914,0.032905606449794275,-98.29696612112484,18.376791106785625
3298,-40,76,42.44702329638321,-29.331888668672466,0.06979691614085289,0.020770589029508138,-97.2756321040593,23.18299805365365
3330,-40,85,-57.26281580242451,-13.09137802637214,0.07349303797114835,0.03693774447526542,-96.03649247507316,27.874578258427846
3364,-41,92,39.743129877921255,70.15256748563849,0.05240224670175198,0.02498930001071542,-94.46847017240496,32.7979899275159
3397,-41,99,-22.029417927761827,-23.187517665798964,0.05891019383874349,0.03117220796140256,-92.77690214500484,37.31549850097406
3431,-41,104,9.25228195259666,70.4552760788342,0.03747934124035696,0.028357879471610743,-90.70000290718116,42.11305584539466
3463,-41,109,10.108233543353114,-21.39451718142283,0.043396140356254546,0.025562378793309363,-88.59638537111972,46.37542990821804
3496,-41,113,9.822789456865868,33.999596776447234,0.03367945020079217,0.022755139570965807,-86.21230751904464,50.66989275932681
3529,-39,117,-57.87281879582857,-4.262846313293641,0.034901225557780594,0.03934208140457102,-83.61248380319938,54.85392011752413
3562,-37,118,8.122820409766792,95.83599890576843,0.0070073396358253884,0.036977865155337276,-80.76471023379271,58.966614120631846
3595,-36,120,40.28631932079832,-35.62020984527664,0.017212083566017906,0.02543633930963177,-77.76425253114293,62.870669061754306
3628,-33,121,-57.12644645886361,30.943152449207382,0.008234914621317362,0.042009756058730495,-74.53366925861779,66.66882439976703
3663,-31,122,40.03786612150557,-0.9336592527249826,0.0085149511085493,0.030001024444701666,-70.99905590778633,70.4211194188436
3694,-28,121,-34.97934815140866,67.69569286760071,-0.01012928677812548,0.039634773069317744,-67.58702907215383,73.70205900244466
3728,-25,122,11.168541546869406,-67.54427648088827,0.009543121220366001,0.03638191261236569,-63.81418047104296,76.99188509712668
3760,-22,121,3.812556703706453,64.24802414430384,-0.008788542761620551,0.035294089144866675,-59.96297178756581,80.02775777443466
3793,-18,121,-28.380886200421404,-35.21881574371223,0.0012732153247060941,0.04340230076964821,-55.96234593301372,82.87469962342972
3826,-14,121,5.936165380969194,-2.97058746379018,0.0021341527248868986,0.041681877839022156,-51.76610072572837,85.55858119238387
3861,-11,121,39.95863394323907,-3.3714121809175266,0.0031559189683667476,0.02957170527398789,-47.24084605999578,88.1379740153799
3892,-8,121,-4.584084185288953,-4.366310807724537,0.004355448429611973,0.0308310622632692,-43.02772091171031,90.26968058625204
3925,-5,122,9.139612803682786,-38.435814363532494,0.015353073057261047,0.028215948403412357,-38.53783306524387,92.2758658731274
3958,-1,123,-27.148410031429727,-6.06222581123897,0.017108605622811815,0.03607773372733442,-33.89886697526565,94.07904558292056
3992,3,123,3.1921752879528706,26.35027590834932,0.009482772884533116,0.03515391058021201,-29.178938615829868,95.64825947843292
4024,5,123,69.65593542760568,-5.980178949657483,0.011180976469319382,0.015373572861124889,-24.477333232095376,96.95803297223475
